match_id,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10
2490198724,46,84,91,36,2,47,31,30,56,14
2490198618,98,107,21,2,11,95,4,86,19,31
2490198491,109,44,34,31,86,82,54,28,12,6
2490198293,8,44,14,16,102,54,31,21,45,9
2490198141,31,28,101,93,7,66,97,68,4,38
2490198085,79,73,12,7,31,14,29,106,42,36
2490198080,8,51,48,70,26,73,7,47,110,31
2490198072,21,6,50,34,18,44,105,31,29,74
2490198071,10,74,32,42,31,67,36,28,62,11
2490198018,16,14,62,95,39,59,93,31,26,2
2490197928,39,76,94,96,103,31,55,43,32,7
2490197892,11,8,31,28,54,44,63,90,19,104
2490197863,8,37,19,31,29,54,28,27,34,30
2490197853,74,16,59,67,22,94,39,69,57,31
2490197731,98,93,2,84,74,8,6,31,28,70
2490197699,3,10,11,81,40,56,92,104,96,31
2490197549,46,75,31,2,67,23,30,41,57,22
2490197472,44,4,72,26,42,32,54,41,31,9
2490196702,8,57,7,44,109,42,54,31,92,26
2490196538,5,109,31,14,56,99,25,35,30,101
2490196320,21,32,28,67,31,44,4,2,45,11
2490196286,5,40,32,22,109,104,11,35,48,31
2490196258,4,31,18,98,71,21,1,28,73,60
2490196257,98,70,12,104,57,1,9,36,31,59
2490196256,111,1,32,36,31,10,26,8,16,56
2490307561,54,52,33,2,64,81,82,109,111,90
2490304053,89,44,84,31,54,74,50,105,68,65
2490298392,92,4,54,69,5,27,113,102,44,90
2490292625,107,54,69,23,19,21,106,77,22,86
2490289489,25,54,56,58,72,66,105,33,49,79
2490281197,56,53,6,21,54,74,31,50,97,91
2490280176,73,15,53,54,21,110,29,38,28,91
2490274133,102,54,96,12,78,94,32,1,83,41
2490271931,81,99,12,5,44,21,98,54,77,72
2490271247,94,35,73,40,19,81,8,13,41,54
2490271050,93,42,54,13,73,29,84,99,14,2
2490270496,25,105,33,45,54,92,68,73,113,12
2490269590,4,44,96,73,6,8,39,85,14,54
2490269039,49,38,75,101,61,31,37,41,54,69
2490268632,34,23,56,54,52,107,29,36,40,45
2490267273,73,54,57,9,104,21,98,74,8,20
2490266667,84,29,62,77,36,21,41,54,44,98
2490266573,104,25,71,17,48,54,74,2,93,68
2490265268,60,93,54,104,30,71,5,98,27,67
2490264964,36,7,32,74,98,26,18,93,54,35
2490264836,69,31,35,4,42,54,74,36,98,93
2490263965,51,54,74,98,21,71,22,12,66,7
2490262884,6,17,54,53,28,83,4,26,60,78
2490262745,50,6,71,15,54,57,44,18,47,4
2490262258,98,71,104,54,5,13,32,93,2,70
2490261618,54,59,61,107,42,60,81,29,17,5
2490261590,30,8,110,25,44,54,95,74,85,106
2490261487,28,57,14,8,107,62,71,39,54,104
2490261263,60,98,54,62,19,14,89,23,29,17
2490261155,32,29,75,10,59,7,104,17,67,54
2490261124,18,50,54,74,32,83,23,112,99,73
2490260443,14,53,2,103,90,54,56,32,39,25
2490260146,44,62,73,81,104,18,69,54,11,6
2490260098,70,12,87,44,90,8,54,32,77,14
2490259875,33,69,14,99,1,38,54,8,53,26
2490259269,41,22,7,109,55,106,14,54,107,57
2490258852,46,57,54,106,44,75,80,74,93,34
2490258334,74,5,6,73,55,54,56,77,30,99
2490257639,23,104,54,5,63,18,71,67,44,72
2490257607,33,7,98,29,14,74,44,54,6,41
2490257219,22,60,8,5,99,10,84,71,54,36
2490257102,54,93,7,82,8,104,91,39,10,28
2490257052,7,20,73,5,58,12,54,76,71,57
2490256379,54,50,44,18,109,93,67,71,37,9
2490256063,8,112,32,67,14,62,54,57,1,44
2490255306,54,44,4,81,36,60,99,63,101,74
2490255275,7,97,69,44,13,110,75,41,39,54
2490255217,56,5,93,4,106,84,104,44,54,10
2490255078,21,62,18,53,71,56,74,48,54,87
2490254890,25,99,44,26,54,6,104,109,14,42
2490254317,8,85,71,74,27,73,11,17,21,54
2490253950,54,95,74,5,23,104,29,46,83,75
2490253571,110,52,112,44,35,54,8,109,26,86
2490253244,63,31,2,71,52,23,54,98,91,29
2490253009,99,14,1,50,54,95,23,25,109,104
2490252916,58,67,5,42,46,21,60,54,4,74
